zpid,streetName,city,state,zipcode,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,rentZestimate,currency,country,taxAssessedValue,imgSrc,homeDetailUrl
28166861,13455 Castilian Dr 1,Houston,TX,77015,154995,2,3,1360,TOWNHOUSE,FOR_SALE,1379,USD,USA,95585,https://photos.zillowstatic.com/fp/22db5e2364d6e26a974e48eeda22e62f-p_e.jpg,https://www.zillow.com/homedetails/13455-Castilian-Dr-1-Houston-TX-77015/28166861_zpid/
304927485,32 Centennial Ridge Pl,Magnolia,TX,77354,360000,3,3,1929,TOWNHOUSE,FOR_SALE,2600,USD,USA,309530,https://photos.zillowstatic.com/fp/ff5f4b7939f8f835292a3aaab9f872ff-p_e.jpg,https://www.zillow.com/homedetails/32-Centennial-Ridge-Pl-Magnolia-TX-77354/304927485_zpid/
80311631,6339 Kelly Dr,Granbury,TX,76048,500000,4,4,5892,MULTI_FAMILY,FOR_SALE,16403,USD,USA,1166360,https://photos.zillowstatic.com/fp/3705537222af714792981b5da9d38382-p_e.jpg,https://www.zillow.com/homedetails/6339-Kelly-Dr-Granbury-TX-76048/80311631_zpid/
2060437482,250 El Dorado Blvd 138,Houston,TX,77062,137000,3,2,1176,TOWNHOUSE,FOR_SALE,1352,USD,USA,,https://photos.zillowstatic.com/fp/ff2d7bc6120e4d1125a03c1aaea36a09-p_e.jpg,https://www.zillow.com/homedetails/250-El-Dorado-Blvd-138-Houston-TX-77062/2060437482_zpid/
2125981626,8247 Creekbend Dr,Houston,TX,77071,122000,2,2,1150,TOWNHOUSE,FOR_SALE,1250,USD,USA,,https://photos.zillowstatic.com/fp/c55612dc8433c58c621b9912ff90d9be-p_e.jpg,https://www.zillow.com/homedetails/8247-Creekbend-Dr-Houston-TX-77071/2125981626_zpid/
27475329,3427 Dornoch St,El Paso,TX,79925,150000,2,3,1368,TOWNHOUSE,FOR_SALE,1800,USD,USA,147021,https://photos.zillowstatic.com/fp/e27f469c14b3be670d36027be209944b-p_e.jpg,https://www.zillow.com/homedetails/3427-Dornoch-St-El-Paso-TX-79925/27475329_zpid/
27808392,12119 Lemon Ridge Ln 121,Houston,TX,77035,130000,4,2,1244,TOWNHOUSE,FOR_SALE,1500,USD,USA,106236,https://photos.zillowstatic.com/fp/5bf03e2049fd7f8457e5cd898f447c01-p_e.jpg,https://www.zillow.com/homedetails/12119-Lemon-Ridge-Ln-121-Houston-TX-77035/27808392_zpid/
28955615,427 Claire Ct,Arlington,TX,76012,270000,,4,1870,MULTI_FAMILY,FOR_SALE,2330,USD,USA,216260,https://photos.zillowstatic.com/fp/382a7d24cc6b6c188059b53cfad52704-p_e.jpg,https://www.zillow.com/homedetails/427-Claire-Ct-Arlington-TX-76012/28955615_zpid/
60252423,2913 Percey Ln,Plano,TX,75025,380000,3,2,1535,TOWNHOUSE,FOR_SALE,2329,USD,USA,301473,https://photos.zillowstatic.com/fp/5473fb7dde924000839769b801da53d7-p_e.jpg,https://www.zillow.com/homedetails/2913-Percey-Ln-Plano-TX-75025/60252423_zpid/
69649281,9905 Derwent Dr,Plano,TX,75025,415000,2,2,1733,TOWNHOUSE,FOR_SALE,,USD,USA,352822,https://photos.zillowstatic.com/fp/54342cfe2bdd77a0a77b3d66c9c40feb-p_e.jpg,https://www.zillow.com/homedetails/9905-Derwent-Dr-Plano-TX-75025/69649281_zpid/
62588064,16611 Cairngrove Ln,Houston,TX,77084,249900,3,3,1645,TOWNHOUSE,FOR_SALE,1849,USD,USA,195178,https://photos.zillowstatic.com/fp/9c829b7938c97e5c4f382e89797dfcb1-p_e.jpg,https://www.zillow.com/homedetails/16611-Cairngrove-Ln-Houston-TX-77084/62588064_zpid/
28467643,17503 Red Oak Dr 7503,Houston,TX,77090,165000,3,2,1640,TOWNHOUSE,FOR_SALE,1599,USD,USA,119245,https://photos.zillowstatic.com/fp/860be09983a4bcc618631b9aa58c6384-p_e.jpg,https://www.zillow.com/homedetails/17503-Red-Oak-Dr-7503-Houston-TX-77090/28467643_zpid/
2056592670,7119 S Gessner Rd APT B,Houston,TX,77036,360000,3,3,3884,MULTI_FAMILY,FOR_SALE,,USD,USA,,https://photos.zillowstatic.com/fp/f5a1495c714db94933ca874fc5271ed0-p_e.jpg,https://www.zillow.com/homedetails/7119-S-Gessner-Rd-APT-B-Houston-TX-77036/2056592670_zpid/
28381181,8311 Augustine Dr L55,Houston,TX,77036,145000,3,2,1411,TOWNHOUSE,FOR_SALE,1700,USD,USA,112668,https://photos.zillowstatic.com/fp/283b07ba878b18687817b8db66550851-p_e.jpg,https://www.zillow.com/homedetails/8311-Augustine-Dr-L55-Houston-TX-77036/28381181_zpid/
63453008,1504 Cardinal Ave,McAllen,TX,78504,255000,2,3,1898,TOWNHOUSE,FOR_SALE,1900,USD,USA,170891,https://photos.zillowstatic.com/fp/49d3d0e6cd4fb6981246f7fe401bc942-p_e.jpg,https://www.zillow.com/homedetails/1504-Cardinal-Ave-McAllen-TX-78504/63453008_zpid/
